 (15.44413179672683-6.9805279106232705j)
 (8.065963540117947+5.754072951349925j)
 (4.893625415271733-4.659213899500868j)
 (3.1657523968633887-3.7986569649482718j)
 (2.1781119422300286+3.1326363649852276j)
 (1.4689515991410669-2.580447054273707j)
 (1.1111952014839808-2.1899999948271893j)
 (0.8451736845097216-1.9621983360236905j)
 (0.5428103941088684-1.6676913531835444j)
 (0.3718008349959963-1.414789050943251j)
 (0.29717331409292763-1.2161365022591764j)
 (0.2522440389190558-1.0969711673803562j)
 (0.1997157234348561-1.0038114247707945j)
 (0.16581667367725592+0.9313375209278202j)
 (0.13135543954776535-0.8767732311440332j)
 (0.10653211998835024-0.8520341487695461j)
 (0.029591025273274597-0.7329968084451024j)
 (-0.17306320896883817-0.6909876976217183j)
 (-0.23925162760326268+0.6904633929356271j)
 (-0.3010169346431562-0.6883223484148742j)
 (-0.3527286895498448-0.6728294254167324j)
 (-0.40569750166478175+0.6496274173233157j)
 (-0.4581056283805898-0.6117907823581396j)
 (-0.5082820167346229+0.5555893651187741j)
 (-0.5516867361751938-0.48074378996750905j)
 (-0.5868412137547944-0.4016576988367219j)
 (-0.6269182273537972-0.2987141519935624j)
 (-0.6423055478298081-0.1538126456402775j)
 (-0.6038955610148239+0.03292189457785638j)
 (-0.5092577597579566+0.20455052847733396j)
 (-0.38528712767053214+0.2865323719611772j)
 (-0.2754780868789369+0.3065134090065421j)
 (0.6012967997480416-0.15948658175970723j)
 (0.8262080423723148+0.30187599065232246j)
 (-0.10215212626515291+0.25470377455240517j)
 (-0.07757255189762037+0.2293707927495627j)
 (0.2398837417329004+0.02683997302127131j)
 (2.544259803329267+0.050084932557416216j)
 (-0.49771909478850457+0.028802667633073563j)
